Ligand,boltz_affinity,boltz_confidence
aspirin,0.844,0.898
caffeine,0.796,0.875
nicotinamide,0.933,0.924
ibuprofen,0.892,0.912
benzamidine,0.851,0.842
methyl_benzamidine,0.976,0.925
ethyl_benzamidine,0.974,0.927
isopropyl_benzamidine,0.972,0.928
tertbutyl_benzamidine,0.972,0.921
methoxy_benzamidine,0.975,0.933
ethoxy_benzamidine,0.972,0.926
hydroxy_benzamidine,0.978,0.893
fluoro_benzamidine,0.884,0.854
chloro_benzamidine,0.949,0.919
bromo_benzamidine,0.97,0.912
iodo_benzamidine,0.899,0.879
trifluoromethyl_benzamidine,0.971,0.935
cyano_benzamidine,0.951,0.871
formyl_benzamidine,0.925,0.859
acetyl_benzamidine,0.975,0.927
carboxy_benzamidine,0.961,0.873
sulfamoyl_benzamidine,0.914,0.865
amino_benzamidine,0.801,0.81
dimethylamino_benzamidine,0.975,0.929
diethylamino_benzamidine,0.971,0.918
vinyl_benzamidine,0.972,0.931
allyl_benzamidine,0.84,0.874
propargyl_benzamidine,0.977,0.928
phenyl_benzamidine,0.971,0.916
biphenyl_benzamidine,0.965,0.911
hydroxy_methoxy_benzamidine,0.972,0.931
hydroxy_ethoxy_benzamidine,0.975,0.927
aminomethyl_benzamidine,0.977,0.93
aminoethyl_benzamidine,0.973,0.931
hydroxyethyl_benzamidine,0.967,0.929
dimethylaminoethyl_benzamidine,0.889,0.854
benzyl_benzamidine,0.871,0.865
phenoxy_benzamidine,0.813,0.771
benzyloxy_benzamidine,0.764,0.799
cyclohexyl_benzamidine,0.842,0.82
isopropoxy_benzamidine,0.861,0.887
tertbutoxy_benzamidine,0.835,0.827
acetoxy_benzamidine,0.874,0.879
propionyl_benzamidine,0.97,0.928
acryloyl_benzamidine,0.886,0.813
trifluoromethoxy_benzamidine,0.798,0.837
sulfonyl_benzamidine,0.974,0.927
methyl_hydroxy_benzamidine,0.972,0.895
chloro_hydroxy_benzamidine,0.969,0.898
fluoro_hydroxy_benzamidine,0.957,0.831
bromo_hydroxy_benzamidine,0.973,0.865
methoxy_hydroxy_benzamidine,0.969,0.902
trimethoxy_benzamidine,0.955,0.863
trihydroxy_benzamidine,0.967,0.881
bis_trifluoromethyl_benzamidine,0.964,0.939
bis_chloro_benzamidine,0.962,0.938
bis_methyl_benzamidine,0.912,0.876
naphthyl1_benzamidine,0.975,0.942
naphthyl2_benzamidine,0.9,0.893
naphthyl4_benzamidine,0.846,0.808
pyridyl2_benzamidine,0.946,0.846
pyridyl3_benzamidine,0.942,0.865
pyridyl4_benzamidine,0.97,0.891
isoquinolinyl_benzamidine,0.973,0.923
indolyl_benzamidine,0.976,0.917
benzimidazolyl_benzamidine,0.946,0.824
phenethyl_benzamidine,0.826,0.781
cyclopropyl_benzamidine,0.73,0.816
cyclobutyl_benzamidine,0.972,0.925
cyclopentyl_benzamidine,0.972,0.914
cyclohexylmethyl_benzamidine,0.984,0.918
isobutyl_benzamidine,0.787,0.778
secbutyl_benzamidine,0.839,0.828
neopentyl_benzamidine,0.973,0.922
trifluoroethyl_benzamidine,0.967,0.931
difluoromethyl_benzamidine,0.896,0.817
carboxamide_benzamidine,0.981,0.924
sulfonamide4_benzamidine,0.825,0.839
sulfonamide3_benzamidine,0.924,0.871
phosphonate4_benzamidine,0.97,0.925
phosphonate3_benzamidine,0.889,0.89
aminosulfonylmethyl_benzamidine,0.911,0.811
carboxymethyl_benzamidine,0.947,0.882
nitro_benzamidine,0.971,0.936
dinitro_benzamidine,0.957,0.928
ethynyl_benzamidine,0.975,0.92
isopropenyl_benzamidine,0.97,0.925
styryl_benzamidine,0.702,0.762
difluoromethoxy_benzamidine,0.791,0.85
pentafluorosulfanyl_benzamidine,0.855,0.843
methylsulfonyl_benzamidine,0.972,0.927
methylsulfinyl_benzamidine,0.933,0.88
ethylthio_benzamidine,0.969,0.928
thiomethyl_benzamidine,0.88,0.882
sulfonyl_fluoride_benzamidine,0.838,0.82
boronic_benzamidine,0.957,0.874
azido_benzamidine,0.933,0.837
triflate_benzamidine,0.955,0.929
mesyloxy_benzamidine,0.97,0.926
methoxycarbonyl_benzamidine,0.965,0.933
ethoxycarbonyl_benzamidine,0.971,0.92
dihydroxy_benzamidine,0.971,0.927
dimethoxy_benzamidine,0.961,0.927
hydroxymethyl_benzamidine,0.972,0.929
acetamidomethyl_benzamidine,0.973,0.925
phosphate_benzamidine,0.965,0.925
quinolinyl_benzamidine,0.983,0.917
thienyl_benzamidine,0.966,0.926
furyl_benzamidine,0.975,0.914
imidazolyl_benzamidine,0.924,0.882
pyrazolyl_benzamidine,0.972,0.925
oxazolyl_benzamidine,0.973,0.926
thiazolyl_benzamidine,0.973,0.928
pyrimidyl_benzamidine,0.949,0.894
pyrazinyl_benzamidine,0.933,0.876
pyridazinyl_benzamidine,0.966,0.923
cyclohexoxy_benzamidine,,
phenethylthio_benzamidine,0.971,0.916
trifluoroacetyl_benzamidine,0.919,0.921
dimethylcarbamoyl_benzamidine,0.955,0.901
